"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3113","verify user is able to land in product page- null","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","1983","forget pwd link exist test @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","2499","login with wrong creadentials json username: Tirth password: @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","2085","forget pwd link exist test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3004","home page title test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","1731","Create users @smoke @api","chromium","2026-06-29","passed","2026-06-29","","api/user_api_E2E.spec.ts","",""
"","2777","home page hedder exist test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","2714","home page hedder exist test @smoke","chromium","2026-06-29","passed","2026-06-29","","homepage_fictures.spec.ts","",""
"","3742","verify user is able to land in product page- MacBook Air","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2466","login with wrong creadentials username: pwtestbatch@open.com password:","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","2781","valid login test","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","2042","Delete User @smoke @api","chromium","2026-06-29","passed","2026-06-29","","api/user_api_E2E.spec.ts","",""
"","2132","Update User","chromium","2026-06-29","passed","2026-06-29","","api/user_api_E2E.spec.ts","",""
"","3134","verify search products macbook - MacBook Air","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","3072","home page title test","chromium","2026-06-29","passed","2026-06-29","","homepage_fictures.spec.ts","",""
"","3206","verify search products imac - iMac","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2434","login with wrong creadentials json username: password: qwe @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","3209","login to app using wrong creadentials","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","2546","valid login test @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3252","verify search products airtel - null","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","325","get all users@smoke @api","chromium","2026-06-29","passed","2026-06-29","","api/user.api.spec.ts","",""
"","3208","verify search products macbook - MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2326","login with wrong creadentials username: password: pw1234","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","1942","login page title @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3061","search product test","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","4117","verify user is able to land in product page- iMac","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2409","login with wrong creadentials json username: Tirth@abc.com password: qwe @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","354","Create a new user Ram @api","chromium","2026-06-29","passed","2026-06-29","","api/user.api.spec.ts","",""
"","4159","verify user is able to land in product page- MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2401","login with wrong creadentials username: invalid@open.com password: wrong123","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","339","Create a new user Mohan @api","chromium","2026-06-29","passed","2026-06-29","","api/user.api.spec.ts","",""
"","1918","login page title","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","342","Create a new user Raja @api","chromium","2026-06-29","passed","2026-06-29","","api/user.api.spec.ts","",""
